type,license_plate,register_date,inspect_No,user_ssn
Truck,NHP-3279,1979-04-09,CNQZMJ,R287953836
SUV,NCH-4167,1996-01-14,DGVAVR,K736421187
Coupe,WRJ-3301,1974-09-13,YOKRMM,P139161974
SUV,SJU-6080,1974-07-22,FBAORR,T238519308
Van,PSS-2448,2014-10-11,WGDXAH,X899899323
Sedan,BIX-4879,2003-03-05,WEBKMB,X899899323
Truck,UHZ-5448,2017-10-09,UYSJJK,P185768145
SUV,YPL-0845,1980-02-15,JDZJLW,X855643285
Van,COV-7466,1970-05-22,JGFFUI,E094486284
Van,NZX-8108,2008-12-25,JGFFUI,N857786103
Van,ORI-7693,1971-08-02,CXOIWP,X162834003
Sedan,EGY-0030,2020-10-14,IOSIXA,E094486284
Coupe,IQL-2295,2003-06-26,BBPTUG,G582830517
Sedan,CYG-2669,1979-05-26,DTYJRX,Y152393805
Sedan,LWU-2334,2008-10-07,IOSIXA,I913129316
SUV,OTQ-9880,2008-08-04,BFTTLV,S700320661
Sedan,DBK-6342,1971-09-14,WNAMJF,Q225853439
Van,LIB-9096,1998-09-08,UNQCHB,N857786103
SUV,YIZ-3209,2013-09-23,HXBXPY,X710058362
Van,ZWI-8423,1985-08-01,PDEVCL,L442527244
Van,QJJ-6427,1992-09-16,JDZJLW,G382710715
SUV,FFP-5458,1983-09-26,POJNYK,X710058362
Van,XAD-9864,2022-03-04,RCCPVF,W345544389
SUV,VGF-4555,1996-10-22,UNQCHB,A532394872
SUV,MCW-9394,2016-08-12,MXAVAE,L442527244
Truck,GWN-0677,1974-08-15,PVOAHI,Q625185256
SUV,ZPV-6640,1991-08-25,ETWJGD,O276038825
SUV,AVN-4391,1992-11-11,RLTGYY,G599023717
Coupe,MPR-7018,1980-07-22,LDCJAF,G997284404
SUV,RIU-0920,1982-04-24,NYPSCH,I913129316
Coupe,HHM-9217,1989-03-06,SLEDND,K432225102
SUV,VNQ-0614,2008-07-12,KYMQNF,P139161974
Sedan,FMM-2836,1977-03-26,RCCPVF,L442527244
Van,EDZ-7027,1982-08-06,LDCJAF,X162834003
Van,OPO-1608,2015-06-06,WNAMJF,Q225853439
Van,OFA-6912,2006-06-29,WNAMJF,R287953836
Truck,NNB-0575,2006-04-03,IFAHIJ,Q225853439
Coupe,UTQ-0240,1980-03-14,SLZVBL,O043827482
SUV,BAA-7457,1994-05-04,HXBXPY,Z649966504
Truck,LMW-6793,2011-12-30,RLTGYY,G000886429
Truck,PHV-6010,2017-12-02,DGVAVR,W345544389
Van,CHL-6178,1976-04-14,KYMQNF,G000886429
SUV,EWV-3443,2017-05-31,SUQPBQ,X162834003
Coupe,RSS-1259,2019-01-14,PEPFRK,Z099954410
Coupe,ZHO-9037,2023-05-28,TEGWRQ,P139161974
Sedan,NVP-4078,1989-01-06,GICCAA,U474452000
SUV,EOF-4397,2008-05-21,TXZLQO,T120817618
Van,NVN-7688,2017-08-08,GICCAA,I913129316
SUV,QYU-6713,2022-08-06,LDCJAF,N618444393
Van,KDD-6968,2023-10-28,PDEVCL,A532394872
Van,DHO-2358,1982-03-28,BEIURY,X710058362
Coupe,LGO-9241,1978-03-05,VVRVAJ,P639000194
Sedan,NZE-6813,1980-05-20,SLEDND,L371392441
SUV,FXK-9937,1998-08-22,YKAOOJ,A559110252
Truck,CYI-3956,2005-05-05,OBFBUC,U964721609
Truck,DIG-8105,2003-05-09,NBBMJH,L442527244
Sedan,COU-1092,1980-12-10,MFLFNX,G997284404
Coupe,OWB-7012,1971-06-18,VVRVAJ,T991392769
Van,WGO-9348,2022-07-31,PVOAHI,Q625185256
Truck,WAG-2355,2001-03-29,ETWJGD,Z649966504
Sedan,KJM-3879,2013-04-03,LDCJAF,U474452000
Van,KRR-2005,1984-03-09,UXHQSG,P185768145
Sedan,LAM-8945,1973-04-13,PEPFRK,U474452000
Van,RTG-6345,2021-03-04,ELBZPL,T238519308
SUV,GXZ-6122,1981-12-22,OHVEIR,X124146736
Sedan,OYV-2306,2021-07-09,RHGELG,U474452000
Coupe,DNV-3692,1976-12-24,DRNIHF,O276038825
Sedan,NJC-9786,1994-01-08,LMUOKN,I913129316
Van,ZQD-6487,1989-12-26,PVOAHI,T238519308
Van,VII-2016,1991-05-09,EYSTDE,P639000194
Sedan,NMC-5933,1971-07-01,UNQCHB,X710058362
SUV,YFZ-4751,2007-11-08,UHUBQD,Z649966504
SUV,VFB-4075,1996-04-27,ZPJUIQ,U582787021
Coupe,OQQ-1067,1974-05-31,TEGWRQ,Z649966504
SUV,EFG-2005,2013-07-11,VDYFOF,W345544389
SUV,JEK-8382,1973-07-31,AMYCAE,I913129316
SUV,IAQ-9517,2005-07-06,SLEDND,L371392441
Sedan,UER-1296,2000-11-10,VDYFOF,U474452000
Sedan,TTG-4154,2015-07-18,QKUJCC,U474452000
Sedan,DSN-5444,2006-01-03,FQRZEY,L194973083
Sedan,IEJ-8831,2012-02-14,VEMCEA,F273487774
Coupe,EVQ-4630,2006-06-18,UDQXHM,T238519308
Truck,FPT-7002,1987-07-03,OBFBUC,G599023717
Coupe,VLG-2135,1999-10-08,HHJZXV,G997284404
Coupe,JIU-9173,1977-11-24,RHGELG,X855643285
Coupe,WNE-4930,1992-08-14,EYSTDE,U582787021
Coupe,VPJ-4880,2019-05-14,PEPFRK,N857786103
SUV,KJS-4092,2013-03-19,PVTUQL,W345544389
Van,QDE-8316,1983-09-18,LDCJAF,Q225853439
Truck,OFM-5605,1982-11-07,UNQCHB,V850334174
Sedan,JOW-6087,1991-10-27,BEIURY,W345544389
Coupe,YKK-4447,1991-06-14,UDKEFN,Z099954410
Van,ZEW-3869,2020-03-26,FVZYVT,V850334174
SUV,OMS-0608,1984-12-19,WGDXAH,L194973083
Coupe,XGC-3471,2011-11-20,VDYFOF,Q225853439
Van,BEM-3848,1980-09-21,GAVOCU,W345544389
Sedan,IYC-1526,2004-06-07,ZPJUIQ,Z649966504
Sedan,DXQ-5909,2017-03-05,SLZVBL,X855643285
Sedan,JQM-7682,1984-03-09,ZBANTQ,S700320661
Van,JZW-9758,2021-02-27,PVOAHI,P639000194
